case,energy_MWh,mean_COP,mean_R_f,mean_dP_Pa,energy_change_vs_baseline_pct,COP_change_vs_baseline_pct
Baseline_NoDegradation,8076.746209339165,3.8389509277678773,0.0,150.0,0.0,0.0
S0_Mild,10294.75213810703,3.0286482909683556,0.00012702529464806683,342.92160000000007,27.46162713647209,-21.10739762101269
S0_Moderate,10572.456501009392,2.949743093983953,0.00015701403056836164,383.1419178082192,30.899946921501996,-23.162781981715675
S0_Severe,10770.940422549635,2.8956835931593776,0.00019273005952588732,410.8635616438356,33.35742071597056,-24.57096619249972
S0_High,10863.989446984031,2.8697844694850727,0.00021562457808837633,419.6916164383562,34.50948148428843,-25.245606847241397
